Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellinter_mean,cellinter_var,cellinter_stdev,cellinter_max,cellinter_min,cellinter_median,cellinter_muc,cellinter_notempty
0,34.000000,13957.000000,15658.000000,0.000000,410.500000,460.529411,0.000000,0.000000,78.470588,252.500000,97.000000,0.000000,0.000000,0.000000,0.712418,2.292395,0.880642,0.000000,0.000000,3.004813,0.857612,0.000000,3.004813,0.926073,-0.000000,5.748683,1.982418,0.000000,461,411,0,458,406,0,463,416,0,406,459,0,27,5.475439,10.950878,-0.419804,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,  8670.000000,34
1,77.000000,33277.000000,15334.000000,0.000000,432.168831,199.142857,0.000000,0.000000,2123.428571,150.805194,-101.857142,0.000000,0.000000,0.000000,6.482114,0.460357,-0.310935,0.000000,0.000000,6.942471,2.887409,0.000000,6.942471,1.699237,-0.000000,2.638483,10.089933,0.000000,199,432,0,191,429,0,210,435,0,429,193,0,55,6.007950,19.025178,-0.051452,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 19635.000000,77
2,26.000000,11379.000000,10663.000000,0.000000,437.653846,410.115384,0.000000,0.000000,84.653846,53.884615,-39.961538,0.000000,0.000000,0.000000,1.099045,0.699573,-0.518813,0.000000,0.000000,1.798619,0.499696,0.000000,1.798619,0.706891,-0.000000,2.011094,4.140137,0.000000,410,438,0,407,435,0,413,440,0,435,412,0,22,6.064996,7.277995,-0.601650,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,  6630.000000,26
3,133.000000,59573.000000,37539.000000,0.000000,447.917293,282.248120,0.000000,0.000000,2050.812030,1252.090225,493.729323,0.000000,0.000000,0.000000,3.020811,1.844307,0.727255,0.000000,0.000000,4.865119,5.042407,0.000000,4.865119,2.245530,-0.000000,5.419821,8.128878,0.000000,282,448,0,274,442,0,289,455,0,442,281,0,62,14.404977,16.621127,0.445336,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 33915.000000,133
4,293.000000,134806.000000,109315.000000,0.000000,460.088737,373.088737,0.000000,0.000000,9159.692832,14705.692832,-8267.307167,0.000000,0.000000,0.000000,4.706781,7.556638,-4.248222,0.000000,0.000000,12.263420,17.520057,0.000000,12.263420,4.185696,-0.000000,16.068836,6.337718,0.000000,373,460,0,362,446,0,385,476,0,446,378,0,115,28.332454,36.955375,0.623585,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 74715.000000,293
5,125.000000,56894.000000,61886.000000,0.000000,455.151999,495.087999,0.000000,0.000000,1426.031999,2732.111999,-884.671999,0.000000,0.000000,0.000000,2.281651,4.371379,-1.415475,0.000000,0.000000,6.653030,7.970392,0.000000,6.653030,2.823188,-0.000000,9.240489,5.129440,0.000000,495,455,0,485,446,0,500,461,0,446,495,0,68,16.802611,16.802611,0.467454,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 31875.000000,125
6,120.000000,56034.000000,37077.000000,0.000000,466.949999,308.974999,0.000000,0.000000,2256.924999,1915.699999,-1476.149999,0.000000,0.000000,0.000000,3.813076,3.236576,-2.493956,0.000000,0.000000,7.049652,6.121493,0.000000,7.049652,2.474165,-0.000000,4.207333,10.263211,0.000000,309,467,0,300,456,0,317,473,0,456,315,0,67,22.769972,22.769972,-0.727863,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 30600.000000,120
7,104.000000,49006.000000,57606.000000,0.000000,471.211538,553.903846,0.000000,0.000000,2105.038461,5545.346153,-3164.884615,0.000000,0.000000,0.000000,4.304098,11.338376,-6.471129,0.000000,0.000000,15.642475,6.925976,0.000000,15.642475,2.631725,-0.000000,15.284084,2.648651,0.000000,554,471,0,544,458,0,560,483,0,458,559,0,83,18.615121,29.086127,0.536473,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 26520.000000,104
8,40.000000,19730.000000,11235.000000,0.000000,493.250000,280.875000,0.000000,0.000000,238.375000,189.500000,165.250000,0.000000,0.000000,0.000000,1.742531,1.385253,1.207984,0.000000,0.000000,3.127785,0.954620,0.000000,3.127785,0.977046,-0.000000,2.139293,6.097929,0.000000,281,493,0,277,489,0,286,497,0,489,277,0,32,10.567141,11.888034,0.711989,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 10200.000000,40
9,111.000000,55888.000000,32780.000000,0.000000,503.495495,295.315315,0.000000,0.000000,1211.963963,1627.747747,975.657657,0.000000,0.000000,0.000000,2.271916,3.051334,1.828942,0.000000,0.000000,5.323251,3.587345,0.000000,5.323251,1.894028,-0.000000,9.263653,3.871816,0.000000,295,503,0,288,497,0,301,511,0,497,291,0,54,16.724492,18.010991,-0.680428,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 28305.000000,111
10,306.000000,155468.000000,153676.000000,0.000000,508.065359,502.209150,0.000000,0.000000,8188.614379,6890.692810,-43.183006,0.000000,0.000000,0.000000,3.971139,3.341701,-0.020941,0.000000,0.000000,7.312841,13.269925,0.000000,7.312841,3.642790,-0.000000,9.470684,10.326149,0.000000,502,508,0,491,499,0,512,517,0,499,500,0,80,18.009937,21.011594,-0.033221,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 78030.000000,306
11,156.000000,82602.000000,47583.000000,0.000000,529.500000,305.019230,0.000000,0.000000,3252.942307,2599.000000,2111.499999,0.000000,0.000000,0.000000,3.873559,3.094853,2.514345,0.000000,0.000000,6.968413,5.666167,0.000000,6.968413,2.380371,-0.000000,4.463209,11.303507,0.000000,305,530,0,296,521,0,314,538,0,521,300,0,67,22.389472,23.706500,0.708582,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 39780.000000,156
12,90.000000,48278.000000,54150.000000,0.000000,536.422222,601.666666,0.000000,0.000000,729.999999,999.955555,-483.333333,0.000000,0.000000,0.000000,1.809948,2.479271,-1.198367,0.000000,0.000000,4.289219,3.051267,0.000000,4.289219,1.746787,-0.000000,7.622659,3.929134,0.000000,602,536,0,596,530,0,608,542,0,530,608,0,46,15.065032,15.065032,0.649234,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 22950.000000,90
13,109.000000,58699.000000,43157.000000,0.000000,538.522935,395.935779,0.000000,0.000000,836.550458,1249.192660,-304.339449,0.000000,0.000000,0.000000,1.606658,2.399168,-0.584506,0.000000,0.000000,4.005826,3.512995,0.000000,4.005826,1.874298,-0.000000,7.137902,4.938421,0.000000,396,539,0,391,533,0,401,546,0,533,396,0,45,11.318641,14.714234,0.487517,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 27795.000000,109
14,108.000000,58943.000000,44497.000000,0.000000,545.768518,412.009259,0.000000,0.000000,1222.990740,871.212962,-359.768518,0.000000,0.000000,0.000000,2.377888,1.693919,-0.699506,0.000000,0.000000,4.071807,3.538641,0.000000,4.071807,1.881127,-0.000000,4.843352,7.246594,0.000000,412,546,0,406,540,0,419,551,0,540,411,0,49,12.967162,15.324828,-0.558036,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 27540.000000,108
15,283.000000,158608.000000,119537.000000,0.000000,560.452296,422.392226,0.000000,0.000000,6837.462897,5988.106007,-100.204946,0.000000,0.000000,0.000000,3.679987,3.222855,-0.053931,0.000000,0.000000,6.902843,11.857162,0.000000,6.902843,3.443423,-0.000000,9.182040,9.829588,0.000000,422,560,0,413,551,0,432,569,0,551,422,0,74,18.121487,19.128237,-0.115858,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000, 72165.000000,283
