Number,m000,m100,m010,m001,xmean,ymean,zmean,mu002,mu020,mu200,mu110,mu101,mu011,eta002,eta020,eta200,eta110,eta101,eta011,I_1,I_2,I_3,J_1,J_2,J_3,EllipsoidalAxisA,EllipsoidalAxisB,EllipsoidalAxisC,RowMean,ColumnMean,PlaneMean,RowMin,ColumnMin,PlaneMin,RowMax,ColumnMax,PlaneMax,ColumnStart,RowStart,PlaneStart,Perimeter2d,FeretMin,FeretMax,RotationAngle2d,cellmask_mean,cellmask_var,cellmask_stdev,cellmask_max,cellmask_min,cellmask_median,cellmask_muc,cellmask_notempty,cellgood_mean,cellgood_var,cellgood_stdev,cellgood_max,cellgood_min,cellgood_median,cellgood_muc,cellgood_notempty,cellshape_mean,cellshape_var,cellshape_stdev,cellshape_max,cellshape_min,cellshape_median,cellshape_muc,cellshape_notempty,cellshape_8,cellshape_9,cellshape_10,cellshape_11,cellshape_12,cellshape_13,cellshape_14,cellshape_15,cellshape_16,cellshape_17,cellshape_18,cellshape_19,cellshape_20,cellshape_21
0,8426.000000,1643830.000000,468300.000000,0.000000,195.090197,55.577972,0.000000,0.000000,10600473.271774,3698441.450271,-242762.259435,0.000000,0.000000,0.000000,61.824884,21.570330,-1.415856,0.000000,0.000000,83.395215,1331.578574,0.000000,83.395215,36.490801,-0.000000,40.798977,69.179663,0.000000,56,195,0,0,142,0,127,241,0,142,0,0,380,99.061067,127.078338,-0.035114,45.769522,     5.551621,     2.356187,    58.000000,    38.000000,    46.000000,385654.000000,8426,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,5,9,1,357,126,168,126,203,12,239,0,227,0,142,-99,-99,-99,-99,-99,-99,-99,-99
1,5510.000000,1370158.000000,610420.000000,0.000000,248.667513,110.784029,0.000000,0.000000,4091604.994554,1598570.884936,-345501.658802,0.000000,0.000000,0.000000,42.042793,16.425922,-3.550160,0.000000,0.000000,58.468716,677.988029,0.000000,58.468716,26.038203,-0.000000,33.163518,54.162789,0.000000,111,249,0,51,207,0,161,283,0,207,129,0,372,76.699859,111.012955,-0.135192,44.753720,     2.850753,     1.688417,    52.000000,    38.000000,    45.000000,246593.000000,5510,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,8,9,3,114,148,219,153,228,158,242,161,254,154,271,71,274,68,267,52,245,-99,-99
2,10898.000000,3310726.000000,877666.000000,0.000000,303.792071,80.534593,0.000000,0.000000,20823301.458240,8277164.835011,7332170.388874,0.000000,0.000000,0.000000,86.182783,34.257252,30.346141,0.000000,0.000000,120.440035,2031.497091,0.000000,120.440035,45.072132,-0.000000,40.935534,90.964760,0.000000,81,304,0,0,243,0,166,365,0,243,11,0,555,134.313706,182.754714,0.431543,46.229766,     4.767060,     2.183360,    56.000000,    39.000000,    46.000000,503812.000000,10898,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,8,9,1,353,165,291,154,312,153,320,151,329,140,362,0,254,7,247,11,243,-99,-99
3,2325.000000,787405.000000,40009.000000,0.000000,338.668817,17.208172,0.000000,0.000000,285457.244731,756912.989247,68524.292473,0.000000,0.000000,0.000000,9.267810,24.574348,2.224746,0.000000,0.000000,33.842158,222.800897,0.000000,33.842158,14.926516,-0.000000,35.719171,21.419773,0.000000,17,339,0,0,295,0,43,370,0,295,0,0,161,43.433777,75.756588,-0.141447,46.605591,     4.580605,     2.140234,    57.000000,    41.000000,    46.000000,108358.000000,2325,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,6,9,2,171,29,369,20,370,18,370,15,370,0,370,0,299,-99,-99,-99,-99,-99,-99
4,9354.000000,3747870.000000,506719.000000,0.000000,400.670301,54.171370,0.000000,0.000000,7775714.293027,7210079.209747,-1880024.493264,0.000000,0.000000,0.000000,39.452737,36.582794,-9.538945,0.000000,0.000000,76.035532,1352.299919,0.000000,76.035532,36.773630,-0.000000,48.411693,62.748683,0.000000,54,401,0,0,343,0,117,455,0,343,48,0,390,147.780978,154.378343,-0.710741,46.805537,     6.004840,     2.450477,    57.000000,    39.000000,    47.000000,437819.000000,9354,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,2385270.000000,9354,8,9,1,360,74,346,85,351,107,359,116,368,96,441,0,443,0,374,49,343,-99,-99
5,9388.000000,3841193.000000,1585696.000000,0.000000,409.159884,168.906689,0.000000,0.000000,12803248.259902,4033639.012674,264156.059224,0.000000,0.000000,0.000000,64.648143,20.367274,1.333817,0.000000,0.000000,85.015418,1314.927430,0.000000,85.015418,36.261928,-0.000000,41.171236,73.446084,0.000000,169,409,0,100,367,0,245,450,0,367,132,0,476,83.037577,145.065646,0.030085,46.194503,     7.664731,     2.768525,    70.000000,    39.000000,    46.000000,433674.000000,9388,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,5,9,1,354,233,396,245,421,100,441,101,398,121,371,-99,-99,-99,-99,-99,-99,-99,-99
6,5908.000000,2780468.000000,1393075.000000,0.000000,470.627623,235.794685,0.000000,0.000000,3986027.953113,2405726.771834,-979603.692619,0.000000,0.000000,0.000000,37.320978,22.524698,-9.171979,0.000000,0.000000,59.845677,756.518575,0.000000,59.845677,27.504882,-0.000000,35.713233,54.153240,0.000000,236,471,0,184,424,0,292,517,0,424,249,0,430,103.084718,119.711285,-0.446021,46.381008,     5.532647,     2.352158,    59.000000,    39.000000,    46.000000,274019.000000,5908,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,8,9,2,180,253,424,266,430,270,433,274,439,290,449,184,495,184,465,187,452,-99,-99
7,5401.000000,2583818.000000,659399.000000,0.000000,478.396222,122.088316,0.000000,0.000000,5430582.872800,1259650.082947,1063112.001666,0.000000,0.000000,0.000000,57.307862,13.292837,11.218809,0.000000,0.000000,70.600699,635.922387,0.000000,70.600699,25.217501,-0.000000,27.075578,64.423521,0.000000,122,478,0,58,445,0,180,512,0,445,97,0,410,68.905435,125.469599,0.235717,48.093871,     5.240630,     2.289242,    58.000000,    41.000000,    48.000000,259755.000000,5401,255.000000,     0.000000,     0.000000,   255.000000,   255.000000,   255.000000,1377255.000000,5401,4,9,1,353,180,468,180,495,179,499,58,458,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
8,1.000000,446.000000,220.000000,0.000000,446.000000,220.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,-nan,-nan,0.000000,220,446,0,220,446,0,220,446,0,446,220,0,1,0.000000,0.000000,-nan,0.000000,     0.000000,     0.000000,    52.000000,    52.000000,    52.000000,    52.000000,1,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
9,17.000000,7637.000000,41.000000,0.000000,449.235294,2.411764,0.000000,0.000000,50.117647,13.058823,9.352941,0.000000,0.000000,0.000000,1.146547,0.298748,0.213968,0.000000,0.000000,1.445295,0.296746,0.000000,1.445295,0.544744,-0.000000,1.582654,3.479081,0.000000,2,449,0,0,448,0,5,451,0,448,0,0,14,3.083848,5.139747,0.233724,49.705882,     2.970588,     1.723539,    54.000000,    48.000000,    49.000000,   845.000000,17,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
10,12.000000,5388.000000,1866.000000,0.000000,449.000000,155.500000,0.000000,0.000000,71.000000,6.000000,15.000000,0.000000,0.000000,0.000000,2.584342,0.218395,0.545987,0.000000,0.000000,2.802737,0.266305,0.000000,2.802737,0.516047,-0.000000,0.900425,4.718527,0.000000,156,449,0,151,448,0,159,450,0,448,151,0,12,2.047672,8.190688,0.216203,47.250000,     2.204545,     1.484771,    50.000000,    44.000000,    47.000000,   567.000000,12,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
11,47.000000,21263.000000,1098.000000,0.000000,452.404255,23.361702,0.000000,0.000000,2476.851063,105.319148,473.127659,0.000000,0.000000,0.000000,14.602798,0.620931,2.789423,0.000000,0.000000,15.223729,1.286447,0.000000,15.223729,1.134216,-0.000000,1.082855,14.453216,0.000000,23,452,0,9,450,0,36,455,0,450,9,0,47,5.091456,27.493862,0.189824,48.106382,     3.314523,     1.820583,    51.000000,    44.000000,    48.000000,  2261.000000,47,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,3,9,1,14,36,454,10,450,13,450,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
12,5768.000000,2931087.000000,1682894.000000,0.000000,508.163488,291.763869,0.000000,0.000000,2839494.390429,3462330.830616,-1426245.329056,0.000000,0.000000,0.000000,27.449894,33.470964,-13.787765,0.000000,0.000000,60.920859,728.671957,0.000000,60.920859,26.993924,-0.000000,55.798463,33.792163,0.000000,292,508,0,237,456,0,339,554,0,456,295,0,405,125.820956,130.956505,0.677911,46.505547,     5.662185,     2.379534,    57.000000,    40.000000,    46.000000,268244.000000,5768,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,7,9,2,177,296,456,314,459,321,465,337,473,269,554,255,543,238,523,-99,-99,-99,-99
13,7305.000000,3741537.000000,346191.000000,0.000000,512.188501,47.390965,0.000000,0.000000,5815525.403694,3633279.434085,1194636.641067,0.000000,0.000000,0.000000,41.029415,25.633338,8.428343,0.000000,0.000000,66.662754,980.683931,0.000000,66.662754,31.315873,-0.000000,40.789328,58.282420,0.000000,47,512,0,0,462,0,110,560,0,462,39,0,380,107.105637,120.220613,0.415326,48.183025,     6.241278,     2.498255,    57.000000,    41.000000,    48.000000,351977.000000,7305,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,6,9,2,180,109,508,107,519,105,529,103,535,0,533,0,469,-99,-99,-99,-99,-99,-99
14,5523.000000,2839113.000000,2072329.000000,0.000000,514.052688,375.217997,0.000000,0.000000,3999261.531051,1645335.667571,162077.562737,0.000000,0.000000,0.000000,40.965011,16.853410,1.660183,0.000000,0.000000,57.818421,687.643927,0.000000,57.818421,26.222965,-0.000000,33.948592,53.181129,0.000000,375,514,0,328,476,0,440,547,0,476,344,0,365,71.166529,112.262694,0.068423,45.285895,     5.056785,     2.248729,    56.000000,    39.000000,    45.000000,250114.000000,5523,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,4,9,2,177,439,510,329,536,335,490,343,477,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
15,2.000000,1005.000000,367.000000,0.000000,502.500000,183.500000,0.000000,0.000000,0.500000,0.500000,0.500000,0.000000,0.000000,0.000000,0.198425,0.198425,0.198425,0.000000,0.000000,0.396850,0.000000,0.000000,0.396850,0.000000,-0.000000,-nan,-nan,0.000000,184,503,0,183,502,0,184,503,0,502,183,0,2,1.414213,1.414213,0.785398,52.500000,     0.500000,     0.707106,    53.000000,    52.000000,    52.000000,   105.000000,2,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,0,9,1,0,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
16,6112.000000,3346983.000000,1245578.000000,0.000000,547.608475,203.792212,0.000000,0.000000,4782982.109292,2117604.080987,886998.763416,0.000000,0.000000,0.000000,42.801037,18.949611,7.937405,0.000000,0.000000,61.750648,748.060617,0.000000,61.750648,27.350696,-0.000000,34.549431,57.097957,0.000000,204,548,0,147,508,0,262,586,0,508,201,0,389,81.487506,120.141836,0.293621,47.282722,     5.766561,     2.401366,    57.000000,    40.000000,    47.000000,288992.000000,6112,0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,     0.000000,0,8,9,1,354,262,556,257,563,256,566,254,571,249,586,147,552,148,530,150,523,-99,-99
